Pos,2PA,FTA,AST,TOV
PF,7.6190476190476195,2.666666666666667,1.9047619047619049,1.7142857142857144
C,8.110671936758894,4.1264822134387344,1.2806324110671936,1.9920948616600789
PF,7.42857142857143,6.2857142857142865,2.571428571428571,1.4285714285714286
SG,8.50909090909091,3.0545454545454547,2.0727272727272723,1.7454545454545456
SG,6.578073089700997,2.272425249169435,1.3156146179401993,1.5548172757475083
C,12.25531914893617,3.8297872340425534,1.7872340425531914,2.5531914893617023
PF,4.909090909090909,1.9090909090909092,1.9090909090909092,1.090909090909091
C,11.025,2.25,2.6999999999999997,2.25
PF,18.8135593220339,5.186440677966102,1.728813559322034,1.728813559322034
C,9.952941176470588,1.4823529411764707,2.541176470588235,1.2705882352941176
SG,9.34351145038168,2.7480916030534353,1.9236641221374047,1.9236641221374047
SF,6.032432432432433,3.1135135135135137,1.5567567567567568,1.362162162162162
PF,10.162679425837322,3.444976076555024,2.7559808612440193,2.411483253588517
C,6.095238095238096,3.619047619047619,1.3333333333333335,1.3333333333333335
SG,4.728813559322034,2.1355932203389827,1.6779661016949152,1.2203389830508473
SF,7.999999999999999,1.3333333333333333,2.6666666666666665,0.9999999999999999
PF,7.985454545454545,3.272727272727273,1.1781818181818182,1.309090909090909
SG,10.43312101910828,4.929936305732483,2.980891719745223,2.407643312101911
SF,15.83193277310924,5.949579831932772,3.1260504201680672,2.2184873949579833
C,4.363636363636363,4.363636363636363,1.7454545454545456,1.7454545454545456
SF,4.336134453781511,1.714285714285714,2.5210084033613445,1.714285714285714
PF,9.952941176470588,2.1176470588235294,2.1176470588235294,1.6941176470588235
C,7.448275862068965,4.137931034482758,1.2413793103448274,1.793103448275862
PG,8.773109243697478,4.689075630252101,7.411764705882353,3.0252100840336134
PG,4.760330578512397,1.9338842975206614,4.6115702479338845,1.9338842975206614
SF,3.2727272727272725,0.8181818181818181,1.090909090909091,1.090909090909091
SG,10.14765100671141,2.6577181208053693,3.6241610738255035,1.691275167785235
PG,9.762711864406779,2.4406779661016946,6.915254237288136,1.8305084745762712
C,14.612546125461254,4.915129151291513,2.125461254612546,1.8597785977859778
SF,6.869257950530035,2.2897526501766783,1.7809187279151943,1.1448763250883391
SF,3.9732441471571907,1.5652173913043481,1.8060200668896322,1.3244147157190636
SG,9.737704918032787,4.131147540983607,2.80327868852459,2.3606557377049184
PF,12.10212765957447,3.9829787234042557,1.9914893617021279,1.5319148936170213
SF,4.405970149253731,1.5044776119402985,5.15820895522388,2.041791044776119
PG,8.233183856502242,2.905829596412556,4.84304932735426,2.7443946188340806
C,10.35,3.375,1.125,2.025
SG,5.491525423728814,2.64406779661017,2.0338983050847457,2.0338983050847457
SG,10.13173652694611,2.8023952095808387,3.3413173652694614,2.155688622754491
PF,12.685714285714287,1.8857142857142857,2.2285714285714286,2.5714285714285716
SG,6.267857142857143,2.5714285714285716,2.410714285714286,1.6071428571428572
PF,11.006369426751592,2.5222929936305736,1.8343949044585988,1.375796178343949
PG,4.324675324675325,1.2857142857142858,3.974025974025974,1.7532467532467533
C,5.381443298969072,5.010309278350516,0.5567010309278351,1.4845360824742269
C,7.56687898089172,2.751592356687898,0.6878980891719745,1.8343949044585988
C,8.530805687203792,3.9241706161137437,1.5355450236966823,1.3649289099526065
PG,2.4761904761904767,0.9523809523809524,6.857142857142858,2.4761904761904767
PG,9.98843930635838,5.618497109826589,6.3468208092485545,3.53757225433526
SG,9.72972972972973,2.4324324324324325,3.891891891891892,2.918918918918919
SF,6.201680672268907,2.1176470588235294,1.3613445378151259,1.5126050420168067
C,8.084745762711863,0.9152542372881355,4.11864406779661,2.4406779661016946
PF,3.876923076923077,1.3846153846153846,1.9384615384615385,0.5538461538461539
PF,8.727272727272727,3.454545454545454,2.0,2.0
PF,15.88235294117647,3.1764705882352944,1.9663865546218489,1.9663865546218489
C,13.322033898305085,5.389830508474576,2.2372881355932206,2.2372881355932206
SG,9.828571428571427,1.4857142857142858,2.057142857142857,1.5999999999999999
C,6.933333333333334,1.5999999999999999,1.5999999999999999,1.3333333333333333
SF,9.795053003533567,4.1978798586572434,4.1978798586572434,2.671378091872792
SF,9.896414342629482,3.7290836653386457,2.438247011952191,2.00796812749004
PG,9.54782608695652,3.286956521739131,5.008695652173913,2.9739130434782606
SG,6.862876254180603,5.418060200668896,2.5284280936454855,2.0468227424749164
PG,6.095238095238096,1.3333333333333335,5.904761904761906,1.9047619047619049
SG,6.72289156626506,2.6024096385542164,1.7349397590361444,1.3012048192771082
SG,4.853932584269662,1.6179775280898876,1.2134831460674156,1.6179775280898876
SG,15.756521739130436,7.2,5.843478260869565,3.8608695652173917
SF,6.937500000000001,2.25,1.875,1.3125
SF,2.057142857142857,0.6857142857142857,0.6857142857142857,0.6857142857142857
PG,9.687707641196011,2.272425249169435,5.142857142857142,1.9136212624584716
SG,9.297297297297296,5.1891891891891895,3.2432432432432434,2.054054054054054
SF,3.9807692307692304,1.3846153846153846,1.7307692307692306,1.0384615384615383
SG,10.325581395348836,6.604651162790697,3.069767441860465,1.3023255813953487
SF,6.80597014925373,1.6119402985074625,1.4328358208955223,1.0746268656716416
PG,8.429268292682925,2.9853658536585366,4.0390243902439025,3.5121951219512195
SG,8.75,2.0,6.25,2.75
PG,5.960264900662252,0.9536423841059604,5.602649006622517,2.1456953642384105
SG,7.314285714285714,2.1714285714285713,1.4857142857142858,1.2571428571428571
PG,4.621621621621621,1.9459459459459458,2.9189189189189184,2.189189189189189
PG,5.420849420849422,2.501930501930502,4.308880308880309,2.501930501930502
SF,5.7507987220447285,2.990415335463259,1.9552715654952075,1.2651757188498403
SG,5.672727272727273,1.9636363636363636,2.6181818181818177,1.5272727272727273
PG,12.637168141592921,4.672566371681416,7.858407079646019,4.460176991150443
PG,13.306930693069306,5.227722772277228,6.653465346534653,3.801980198019802
SF,8.701421800947866,4.947867298578198,2.559241706161137,2.218009478672986
PG,6.324324324324325,4.013513513513513,4.621621621621621,2.6756756756756754
C,6.963934426229509,4.0131147540983605,1.298360655737705,1.6524590163934425
SF,8.290220820189274,2.0441640378548898,1.9305993690851735,1.5899053627760251
PG,11.663999999999998,3.888,5.04,2.3040000000000003
PG,6.3442622950819665,1.4754098360655739,5.163934426229509,1.7704918032786885
PG,9.442622950819674,1.9180327868852463,4.721311475409837,2.2131147540983607
PG,8.89655172413793,4.241379310344827,5.793103448275862,2.586206896551724
PF,6.251497005988024,2.155688622754491,3.0179640718562877,1.5089820359281438
PG,9.735849056603772,4.0754716981132075,6.113207547169812,2.490566037735849
SF,6.289156626506023,1.9518072289156625,2.1686746987951806,2.6024096385542164
PG,11.20754716981132,4.0754716981132075,3.3962264150943398,2.716981132075472
C,18.897360703812314,9.712609970674485,3.8005865102639294,4.539589442815249
SF,5.67741935483871,4.000000000000001,1.935483870967742,2.3225806451612905
SG,3.492537313432836,0.8059701492537312,2.1492537313432836,0.8059701492537312
SG,10.015037593984964,5.2781954887218046,3.3834586466165413,1.894736842105263
SF,5.09433962264151,1.358490566037736,1.6981132075471699,1.358490566037736
SF,7.7355371900826455,3.4214876033057853,2.0826446280991737,1.0413223140495869
PF,7.2,1.008,1.1520000000000001,0.72
PG,9.577981651376145,4.623853211009174,8.477064220183484,3.4128440366972477
C,8.68235294117647,1.2705882352941176,1.9058823529411764,2.541176470588235
SG,6.146341463414634,1.7560975609756095,1.4634146341463414,1.7560975609756095
SF,7.738317757009346,0.33644859813084116,1.3457943925233646,1.3457943925233646
PF,8.526315789473685,3.221052631578947,2.6526315789473682,2.463157894736842
PF,17.45152354570637,6.781163434903046,2.193905817174515,1.3961218836565097
PF,9.11587982832618,3.7081545064377677,1.8540772532188838,1.0815450643776823
PF,10.032786885245901,3.8360655737704925,1.4754098360655739,1.4754098360655739
SF,7.689320388349515,0.6990291262135923,1.048543689320388,2.4466019417475726
C,6.797202797202797,2.769230769230769,0.5034965034965034,2.2657342657342654
SG,3.6699029126213594,1.048543689320388,5.242718446601941,1.5728155339805823
SF,8.464285714285715,3.75,2.0357142857142856,1.607142857142857
SG,15.428571428571429,7.405714285714286,3.6,2.3657142857142857
PF,8.375510204081634,1.616326530612245,4.261224489795918,2.3510204081632655
C,8.28,3.96,2.4,2.04
PG,8.328358208955224,2.6865671641791042,8.328358208955224,2.6865671641791042
PF,6.096774193548388,3.483870967741935,1.1612903225806452,1.7419354838709675
SG,6.8108108108108105,2.6756756756756754,4.864864864864865,1.9459459459459458
SG,10.239520958083833,2.694610778443114,4.419161676646707,2.37125748502994
PG,9.931034482758621,4.137931034482759,5.482758620689655,2.3793103448275863
PG,5.311475409836065,0.5901639344262294,7.475409836065572,4.131147540983607
C,13.80983606557377,5.311475409836065,0.8262295081967213,1.7704918032786885
SG,4.840336134453781,1.3613445378151259,2.7226890756302518,1.3613445378151259
C,13.079584775086506,4.982698961937716,3.737024221453287,2.1176470588235294
SF,4.315068493150685,1.726027397260274,2.219178082191781,1.2328767123287672
SF,12.14201183431953,6.710059171597633,4.366863905325444,2.8757396449704147
SF,7.156626506024096,2.6024096385542164,1.9518072289156625,2.1686746987951806
SG,8.093023255813952,1.3953488372093024,2.2325581395348837,1.1162790697674418
SG,14.31454005934718,4.059347181008901,4.379821958456973,2.6706231454005933
SF,5.294117647058823,3.176470588235294,1.6941176470588235,1.2705882352941176
PG,8.680851063829786,0.5106382978723405,6.127659574468085,3.574468085106383
PF,6.404907975460122,4.638036809815952,1.5460122699386503,2.2085889570552144
SG,12.563049853372435,3.9061583577712615,6.96774193548387,3.272727272727273
PG,3.0810810810810807,0.6486486486486487,3.8918918918918917,2.27027027027027
C,9.818181818181818,5.5636363636363635,0.6545454545454545,2.290909090909091
PF,12.56115107913669,4.920863309352518,1.553956834532374,2.0719424460431655
PG,4.163265306122449,0.7346938775510203,4.653061224489796,2.2040816326530615
PF,14.376623376623376,5.259740259740259,1.7532467532467533,1.87012987012987
SG,7.5524475524475525,3.1468531468531467,2.6433566433566433,1.762237762237762
SG,4.645161290322581,1.8248847926267282,3.9815668202764973,1.9907834101382487
PG,6.694736842105263,3.1578947368421053,9.094736842105263,3.789473684210526
PG,6.352941176470588,3.176470588235294,9.0,3.7058823529411766
